player,team,primary_position,minutes,goals,assists,player_rating_100
Montassar Talbi,Tunisia,DF,270.0,0.0,0.0,19.39277389277389
Manuel Akanji,Switzerland,DF,600.0,0.0,0.0,19.386490321272927
Arda Güler,Türkiye,MF,270.0,1.0,0.0,19.381165801455662
Konrad Laimer,Austria,DF,360.0,0.0,1.0,19.195609945609945
Miguel Almirón,Paraguay,MF,282.0,0.0,0.0,19.190472647919457
Lisandro Martínez,Argentina,DF,624.0,1.0,1.0,19.083606842804166
Hans Vanaken,Belgium,MF,319.0,1.0,2.0,19.011096803791364
Amine Gouiri,Algeria,FW,251.0,1.0,0.0,18.998210058317454
Leandro Trossard,Belgium,MF,506.0,2.0,2.0,18.9410884126471
Keito Nakamura,Japan,MF,307.0,1.0,1.0,18.82417422071862
Danley Jean-Jacques,Haiti,MF,259.0,0.0,0.0,18.785943785943786
Juan Manuel Sanabria,Uruguay,DF,204.0,0.0,0.0,18.626593994241052
Patrick Berg,Norway,MF,445.0,0.0,2.0,18.521725465545693
Liberato Cacace,New Zealand,DF,220.0,0.0,0.0,18.43407086984162
Sherzod Nasrullaev,Uzbekistan,DF,180.0,0.0,0.0,18.41184419445289
Gabriel Gudmundsson,Sweden,DF,330.0,0.0,0.0,18.183831320194955
Connor Metcalfe,Australia,MF,315.0,1.0,0.0,18.161506770202422
Benjamin Tahirovic,Bosnia–Herz,MF,237.0,0.0,0.0,18.155262459059923
Jamal Musiala,Germany,MF,270.0,1.0,0.0,18.107982463054928
Petar Sučić,Croatia,MF,289.0,1.0,1.0,18.106808441545915
Roberto Alvarado,Mexico,MF,428.0,0.0,3.0,18.078393569047776
Anass Salah-Eddine,Morocco,DF,212.0,0.0,0.0,18.033381712626994
Emam Ashour,Egypt,MF,362.0,2.0,0.0,17.867874778756352
Lamine Yamal,Spain,MF,614.0,1.0,0.0,17.79679014277513
Declan Rice,England,MF,557.0,1.0,2.0,17.736763405719774
Daizen Maeda,Japan,MF,244.0,1.0,0.0,17.731118964190955
Eldor Shomurodov,Uzbekistan,FW,269.0,1.0,0.0,17.72695436668283
Fabián Ruiz Peña,Spain,MF,321.0,1.0,0.0,17.718560278495264
Ricardo Rodríguez,Switzerland,DF,517.0,0.0,1.0,17.713273187161
Weston McKennie,United States,MF,443.0,0.0,0.0,17.679614035978744
Maxim De Cuyper,Belgium,DF,442.0,0.0,0.0,17.625466211930902
Alessandro Circati,Australia,DF,390.0,0.0,0.0,17.525730679576828
Finn Surman,New Zealand,DF,270.0,1.0,0.0,17.391026579432378
Neil El Aynaoui,Morocco,MF,562.0,0.0,0.0,17.359601561984356
Tim Payne,New Zealand,DF,224.0,0.0,1.0,17.300043706293707
Rodri,Spain,MF,724.0,0.0,0.0,17.281371942974154
Álex Baena,Spain,MF,481.0,1.0,1.0,17.271094327950514
Marcel Sabitzer,Austria,MF,360.0,1.0,0.0,17.223874756483454
Nikola Vlašić,Croatia,MF,189.0,1.0,0.0,17.199437706684083
Luc De Fougerolles,Canada,DF,372.0,0.0,0.0,17.13062767059962
Mohamed Kanno,Saudi Arabia,MF,225.0,0.0,0.0,17.10246275463667
Ramy Rabia,Egypt,DF,372.0,0.0,0.0,17.068122970998147
Ezri Konsa,England,DF,647.0,1.0,0.0,17.035034271107115
Josip Stanišić,Croatia,DF,360.0,0.0,1.0,16.877913752913752
Mathías Olivera,Uruguay,DF,270.0,0.0,0.0,16.81921781921782
Tijjani Reijnders,Netherlands,MF,199.0,0.0,1.0,16.801199674260634
Jan Paul van Hecke,Netherlands,DF,390.0,1.0,0.0,16.735850919797407
Shoja' Khalilzadeh,IR Iran,DF,270.0,0.0,0.0,16.73310023310023
Andrés Andrade Cedeño,Panama,DF,270.0,0.0,0.0,16.73310023310023
Rúben Dias,Portugal,DF,360.0,0.0,0.0,16.66851204351204
Youri Tielemans,Belgium,MF,474.0,2.0,0.0,16.65795160016404
Yasser Ibrahim,Egypt,DF,467.0,1.0,0.0,16.653726901841605
Jordy Bos,Australia,DF,308.0,0.0,0.0,16.63079509423383
David Alaba,Austria,DF,275.0,0.0,1.0,16.6184361093452
Odilon Kossounou,Côte d'Ivoire,DF,272.0,0.0,0.0,16.61006273138626
Danilo,Brazil,DF,405.0,0.0,0.0,16.58957092290425
Agustín Canobbio,Uruguay,FW,224.0,1.0,0.0,16.566705486542443
Federico Viñas,Uruguay,FW,192.0,0.0,0.0,16.525135869565215
Daichi Kamada,Japan,MF,329.0,2.0,0.0,16.491453350842804
Enzo Fernández,Argentina,MF,659.0,2.0,0.0,16.48312387838679
Ryan Mendes,Cabo Verde,MF,330.0,0.0,1.0,16.424348378893836
Jamiro Monteiro,Cabo Verde,MF,281.0,0.0,0.0,16.387797565269324
Mohamed Salah,Egypt,MF,425.0,1.0,2.0,16.363419359838794
Tani Oluwaseyi,Canada,FW,259.0,0.0,0.0,16.333725029377202
Nilson Angulo,Ecuador,MF,218.0,1.0,0.0,16.22137269724027
Torbjørn Heggem,Norway,DF,443.0,0.0,0.0,16.111080988890393
Nicolás González,Argentina,MF,259.0,0.0,1.0,16.023864502125374
Jesús Gallardo,Mexico,DF,373.0,0.0,0.0,15.96289769212021
Noussair Mazraoui,Morocco,DF,477.0,0.0,0.0,15.93218102652065
Hamdy Fathy,Egypt,DF,238.0,0.0,0.0,15.867955573837921
Moisés Caicedo,Ecuador,MF,360.0,0.0,0.0,15.825774467078812
Nicolás Tagliafico,Argentina,DF,476.0,0.0,0.0,15.770259152612093
Nahuel Molina,Argentina,DF,528.0,0.0,0.0,15.577187963551598
Maxence Lacroix,France,DF,241.0,0.0,0.0,15.573948872704058
Thalente Mbatha,South Africa,MF,260.0,0.0,0.0,15.546957223378627
Hakan Çalhanoğlu,Türkiye,MF,180.0,0.0,0.0,15.40197121718861
Nicolas Seiwald,Austria,MF,315.0,0.0,0.0,15.393495393495392
Micky van de Ven,Netherlands,DF,265.0,0.0,0.0,15.391499394780773
Stephen Eustáquio,Canada,MF,392.0,1.0,0.0,15.174097382948315
Junya Itō,Japan,MF,216.0,1.0,0.0,15.049507993348573
Antonio Nusa,Norway,FW,318.0,1.0,0.0,14.995442530307173
Rodrigo De Paul,Argentina,MF,491.0,0.0,1.0,14.957356466255783
Yan Valery,Tunisia,DF,251.0,0.0,0.0,14.860836374780595
Samuel Moutoussamy,Congo DR,MF,330.0,0.0,0.0,14.844776435685525
Jonas Adjetey,Ghana,DF,225.0,0.0,0.0,14.832816458903416
Ladislav Krejčí,Czechia,DF,270.0,1.0,0.0,14.817470505876305
Arthur Masuaku,Congo DR,DF,315.0,0.0,1.0,14.8034188034188
Israel Reyes,Mexico,DF,202.0,0.0,0.0,14.795575711417294
Evidence Makgopa,South Africa,FW,215.0,0.0,0.0,14.757330637007076
Dani Olmo,Spain,MF,491.0,0.0,2.0,14.714180267620453
Alistair Johnston,Canada,DF,450.0,0.0,0.0,14.62613425222121
Aïssa Mandi,Algeria,DF,360.0,0.0,0.0,14.609168609168607
Chris Richards,United States,DF,360.0,0.0,0.0,14.609168609168607
Sadio Mané,Senegal,MF,362.0,0.0,1.0,14.551010483631192
Ime Okon,South Africa,DF,360.0,0.0,0.0,14.544580419580418
Issa Diop,Morocco,DF,476.0,1.0,0.0,14.537117826759768
Fares Chaïbi,Algeria,MF,360.0,0.0,0.0,14.516464815377859
Romano Schmid,Austria,MF,263.0,1.0,0.0,14.499832563975398
Sander Berge,Norway,MF,480.0,0.0,0.0,14.480259324009323
Tim Ream,United States,DF,360.0,0.0,0.0,14.479992229992227
Marc Cucurella,Spain,DF,750.0,0.0,2.0,14.44603830951657
Caleb Yirenkyi,Ghana,MF,264.0,1.0,0.0,14.256177232955892
Leroy Sané,Germany,MF,326.0,1.0,0.0,14.198058099098379
Reece James,England,DF,319.0,0.0,0.0,14.162812109520573
Nuno Mendes,Portugal,DF,395.0,1.0,0.0,14.05873304827625
Isak Hien,Sweden,DF,216.0,0.0,0.0,14.051897176897175
Jules Koundé,France,DF,599.0,0.0,0.0,13.924898140257069
Federico Valverde,Uruguay,MF,236.0,0.0,0.0,13.92072831369073
Lee Han-beom,Korea Republic,DF,270.0,0.0,0.0,13.9011914011914
Aziz Behich,Australia,MF,217.0,0.0,0.0,13.900160148406993
Ismail Jakobs,Senegal,DF,219.0,0.0,0.0,13.75323306830156
Ngal'Ayel Mukau,Congo DR,MF,195.0,0.0,0.0,13.748431056123364
Davinson Sánchez,Colombia,DF,480.0,0.0,0.0,13.712000861457382
Gustavo Puerta,Colombia,MF,469.0,0.0,1.0,13.684365601951583
Nico O'Reilly,England,DF,461.0,0.0,0.0,13.672100322576602
Kim Min-jae,Korea Republic,DF,245.0,0.0,0.0,13.527069204087837
Edmilson Junior,Qatar,MF,210.0,0.0,1.0,13.478579391622873
Thapelo Maseko,South Africa,MF,242.0,1.0,0.0,13.363988987416942
Amir Al Ammari,Iraq,MF,247.0,0.0,1.0,13.30058605362249
John Yeboah,Ecuador,MF,311.0,0.0,0.0,13.291381483049317
Chadi Riad,Morocco,DF,344.0,0.0,1.0,13.285087006017237
Lamine Camara,Senegal,MF,248.0,0.0,1.0,13.24695465824498
Manuel Ugarte,Uruguay,MF,184.0,0.0,0.0,13.244370232791782
Nabil Bentaleb,Algeria,MF,285.0,0.0,0.0,13.239479818427185
Joe Bell,New Zealand,MF,243.0,0.0,0.0,13.211890989668767
Julián Álvarez,Argentina,FW,602.0,1.0,0.0,13.191655833212963
Leandro Paredes,Argentina,MF,473.0,0.0,0.0,13.164533324934096
Johan Mojica,Colombia,DF,390.0,0.0,0.0,13.134063818010306
Virgil van Dijk,Netherlands,DF,390.0,1.0,1.0,13.06766013622201
Derek Cornelius,Canada,DF,315.0,0.0,0.0,12.948404252752077
Manu Koné,France,MF,385.0,0.0,0.0,12.788969923357277
Ali Ahmed,Canada,MF,234.0,0.0,0.0,12.748367388835616
Christian Pulisic,United States,MF,223.0,0.0,1.0,12.692832610945304
Erik Lira,Mexico,MF,345.0,0.0,1.0,12.688557818992601
Akmal Mozgovoy,Uzbekistan,MF,216.0,0.0,1.0,12.680976430976433
Grant Hanley,Scotland,DF,180.0,0.0,0.0,12.614413364413362
Bruno Fernandes,Portugal,MF,422.0,0.0,1.0,12.60021556848262
Steven Moreira,Cabo Verde,DF,301.0,0.0,0.0,12.546755570011381
Noah Sadiki,Congo DR,MF,259.0,0.0,0.0,12.523962523962526
David Møller Wolfe,Norway,DF,430.0,0.0,1.0,12.460318751016425
Noni Madueke,England,MF,286.0,0.0,0.0,12.39818254108312
Michael Amir Murillo,Panama,DF,270.0,0.0,0.0,12.360680382419513
Remo Freuler,Switzerland,MF,592.0,0.0,0.0,12.279234425973558
Takehiro Tomiyasu,Japan,DF,184.0,0.0,0.0,12.213818789905744
Rafik Belghali,Algeria,DF,331.0,1.0,0.0,12.086758418690641
Bilal El Khannouss,Morocco,MF,461.0,0.0,0.0,12.063596593918199
Ermedin Demirović,Bosnia–Herz,FW,354.0,0.0,0.0,11.950380741832472
Franck Kessié,Côte d'Ivoire,MF,346.0,1.0,0.0,11.89488403863875
Ihsan Haddad,Jordan,DF,260.0,0.0,1.0,11.874394835933296
Gabriel Magalhães,Brazil,DF,450.0,0.0,1.0,11.854856254856253
Sergiño Dest,United States,MF,297.0,0.0,0.0,11.771229063719185
